epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,930.588,1.27061,0.94306,1.14598,0.89154,0.92506,0.91375,0.53745,1.30615,0.81631,1.15379,0.000396265,0.000396265,0.000396265
43,951.114,1.26707,0.94159,1.13779,0.88848,0.91982,0.90977,0.52986,1.32262,0.8064,1.15442,0.000389661,0.000389661,0.000389661
44,972.871,1.27465,0.94446,1.14552,0.89047,0.91502,0.90263,0.52532,1.34031,0.79372,1.16762,0.000383058,0.000383058,0.000383058
45,994.223,1.27629,0.9262,1.14761,0.89242,0.91887,0.90409,0.54046,1.31897,0.78695,1.15484,0.000376455,0.000376455,0.000376455
46,1014.68,1.26244,0.92642,1.14016,0.89865,0.92033,0.90147,0.50747,1.40344,0.82166,1.18026,0.000369851,0.000369851,0.000369851
47,1036.25,1.25754,0.91971,1.13781,0.8909,0.92159,0.91532,0.54913,1.32866,0.77789,1.15522,0.000363248,0.000363248,0.000363248
48,1056.89,1.25481,0.92373,1.14177,0.88965,0.92257,0.90672,0.54928,1.34765,0.78845,1.16102,0.000356645,0.000356645,0.000356645
49,1078.46,1.24996,0.91361,1.13607,0.91238,0.92929,0.91519,0.53221,1.38623,0.78107,1.16905,0.000350042,0.000350042,0.000350042
50,1100.28,1.25875,0.90005,1.13489,0.90275,0.9288,0.91403,0.54547,1.35333,0.75953,1.16553,0.000343438,0.000343438,0.000343438
51,1120.62,1.26574,0.91533,1.13666,0.89712,0.92728,0.90772,0.54578,1.32465,0.77912,1.15811,0.000336835,0.000336835,0.000336835
52,1144.09,1.24073,0.88312,1.12279,0.89886,0.92651,0.90613,0.53142,1.34453,0.77767,1.1649,0.000330232,0.000330232,0.000330232
53,1164.93,1.24616,0.89269,1.13047,0.88185,0.91191,0.91074,0.55126,1.33731,0.76451,1.15359,0.000323628,0.000323628,0.000323628
54,1186.18,1.2409,0.88749,1.12763,0.89935,0.93014,0.90763,0.54481,1.33517,0.7541,1.1537,0.000317025,0.000317025,0.000317025
55,1207.61,1.25048,0.88592,1.13437,0.89998,0.9304,0.91371,0.55125,1.33945,0.7315,1.16685,0.000310422,0.000310422,0.000310422
56,1228.27,1.24096,0.8919,1.13076,0.89528,0.92635,0.91226,0.54859,1.32733,0.75541,1.15424,0.000303818,0.000303818,0.000303818
57,1250.53,1.23814,0.88973,1.1297,0.89942,0.92991,0.91445,0.54963,1.3473,0.73714,1.15546,0.000297215,0.000297215,0.000297215
58,1272.38,1.24192,0.86939,1.12796,0.88559,0.92576,0.91356,0.54439,1.32028,0.75429,1.14807,0.000290612,0.000290612,0.000290612
59,1293.08,1.2403,0.89508,1.12828,0.88112,0.92064,0.90571,0.53729,1.34461,0.73589,1.15198,0.000284009,0.000284009,0.000284009
60,1315.15,1.22744,0.86531,1.11867,0.89962,0.93106,0.91489,0.53422,1.37704,0.76616,1.1618,0.000277405,0.000277405,0.000277405
61,1336.04,1.2219,0.86218,1.12406,0.90094,0.92043,0.91523,0.5426,1.36531,0.72604,1.16665,0.000270802,0.000270802,0.000270802
62,1357.76,1.22754,0.87039,1.12469,0.90215,0.92935,0.91938,0.54271,1.35264,0.72971,1.15576,0.000264199,0.000264199,0.000264199
63,1379.98,1.22354,0.85598,1.11524,0.89303,0.92431,0.90773,0.53296,1.35796,0.73353,1.16406,0.000257595,0.000257595,0.000257595
64,1400.77,1.23174,0.85584,1.12169,0.89367,0.92545,0.91648,0.53749,1.3589,0.74214,1.16473,0.000250992,0.000250992,0.000250992
65,1422.54,1.21607,0.85019,1.11972,0.88815,0.9274,0.90895,0.54044,1.34943,0.7327,1.16662,0.000244389,0.000244389,0.000244389
66,1444.65,1.21839,0.84994,1.11625,0.90751,0.91761,0.91452,0.53024,1.37717,0.74035,1.17675,0.000237785,0.000237785,0.000237785
67,1465.8,1.22303,0.84252,1.11539,0.89481,0.91921,0.91058,0.53466,1.36947,0.72828,1.16558,0.000231182,0.000231182,0.000231182
68,1488.23,1.21144,0.82331,1.11476,0.90394,0.9211,0.90695,0.53517,1.36506,0.71088,1.17473,0.000224579,0.000224579,0.000224579
69,1510.12,1.21688,0.8275,1.11155,0.89403,0.92567,0.91122,0.54167,1.34836,0.71524,1.15374,0.000217976,0.000217976,0.000217976
